"game_id","home_team","away_team","period_id","event_no","description","time_remaining","on_ice_situation","home_goals","away_goals","leader","team","event","first_player","first_number","second_player","second_number","third_player","third_number","shot_type","shot_result","goalie_involved","penalty","penalty_length","penalty_type","penalty_called","offensive_player_one","offensive_player_two","offensive_player_three","offensive_player_four","offensive_player_five","home_goalie","away_goalie"
268078,"CTW","BUF",2,63,"#6 Shannon Doyle saved by #37 Mariah Fujimagari","13:12","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Shannon Doyle",6,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,64,"#7 Jane Morrisette faceoff won against #17 Cassidy MacPherson","12:58","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Jane Morrisette",7,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,65,"#22 Becki Bowering faceoff won against #16 Hanna Beattie","11:36","Even Strength","0 ","1","BUF","BuffaloBUF","Faceoff","Becki Bowering",22,"Hanna Beattie",16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,66,"#22 Becki Bowering saved by #31 Sonjia Shelly","11:20","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,67,"#12 Ana Orzechowski saved by #31 Sonjia Shelly","11:10","Even Strength","0 ","1","BUF","BuffaloBUF","Shot","Ana Orzechowski",12,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,68,"#26 Jordan Brickner saved by #37 Mariah Fujimagari","10:13","Even Strength","0 ","1","BUF","ConnecticutCTW","Shot","Jordan Brickner",26,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,69,"#15 Emma Vlasic faceoff won against #17 Cassidy MacPherson","10:01","Even Strength","0 ","1","BUF","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Cassidy MacPherson",17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,70,"#94 Grace Klienbach from #24 Sarah Hughson and #14 Elena OrlandoSnap shotEven Strength1 - 1 Tie","9:43","Even Strength","1 ","1","T","ConnecticutCTW","Goal","Grace Klienbach",94,"Sarah Hughson",24,"Elena Orloie",14,"Snap shot","made","Mariah Fujimagari",0,NA,NA,NA,"Emma Vlasic","Elena Orlando","Grace Klienbach","Sarah Hughson","Jordan Brickner","Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,72,"#15 Emma Vlasic faceoff won against #88 Sara Bustad","9:23","Even Strength","1 ","1","T","ConnecticutCTW","Faceoff","Emma Vlasic",15,"Sara Bustad",88,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",2,73,"#24 Sarah Hughson saved by #37 Mariah Fujimagari","8:38","Even Strength","1 ","1","T","ConnecticutCTW","Shot","Sarah Hughson",24,"Mariah Fujimagari",37,NA,NA,NA,"saved","Mariah Fujimagari",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
